Country,ISO3,Percent_Forest,FAO_Forested_AGBD,FAO_Forested_AGBD,GEDI_L4B_Total_AGBD,GEDI_L4B_Total_AGBD,GEDI_L4B_AGBD_SE_Percent,FAO_AGB,GEDI_L4B_AGB,GEDI_L4B_AGB_SE
Aruba,ABW,2.3,-9999,-9999,2.1,0.5,23.6,-9999,0.00003554220976,0.00000838806812999
Afghanistan,AFG,1.9,-9999,-9999,24.7,1.3,5.4,-9999,1.583907327,0.084861795
Angola,AGO,53.4,30.3,16.2,34.6,0.6,1.9,2.02,4.312326409,0.080284306
Anguilla,AIA,61.1,210,128.3,4.4,1,22.5,0.00116,0.0000354368962489,0.00000797348
Albania,ALB,28.8,-9999,-9999,56.9,1.4,2.5,-9999,0.161157879,0.004025675
Andorra,AND,34,154,52.4,74.3,4.7,6.3,0.00246,0.003360226,0.000211811
United Arab Emirates,ARE,4.5,74.4,3.3,5,0.6,12.9,0.0236,0.035354551,0.004564343
Argentina,ARG,10.4,185.7,19.4,10,0.5,4.8,5.31,2.7958092,0.133877603
Armenia,ARM,11.5,-9999,-9999,29.3,1.2,4.1,-9999,0.086746981,0.003553399
Antigua and Barbuda,ATG,18.5,210,38.8,11.3,1.5,13.4,0.00171,0.000510457,0.0000682873836679748
Australia,AUS,17.4,84,14.6,15.7,0.8,5,11.3,12.06421544,0.609014866
Austria,AUT,47.3,172.3,81.4,114.2,2.2,1.9,0.672,0.959529917,0.018302074
Azerbaijan,AZE,13.7,-9999,-9999,29.5,1,3.3,-9999,0.254512242,0.008422726
Burundi,BDI,10.9,119.4,13,37.6,1,2.6,0.0334,0.093745421,0.002404701
Belgium,BEL,22.8,-9999,-9999,57.9,1.4,2.5,-9999,0.177640811,0.004363764
Benin,BEN,27.8,103.6,28.8,24.6,0.9,3.8,0.325,0.28523739,0.010766799
Burkina Faso,BFA,22.7,47.8,10.9,10.7,0.9,8.3,0.297,0.292116505,0.024332837
Bangladesh,BGD,14.5,62.8,9.1,33.4,0.9,2.8,0.118,0.456962278,0.012658769
Bulgaria,BGR,35.9,180.5,64.7,65.4,1.4,2.2,0.703,0.737806722,0.016287895
Bahrain,BHR,0.9,-9999,-9999,3,0.5,16.2,-9999,0.000172824,0.0000279324
