Country,ISO3,Percent_Forest,FAO_Forested_AGBD,FAO_Total_AGBD,GEDI_L4B_Total_AGBD,GEDI_L4B_AGBD_SE,GEDI_L4B_AGBD_SE_Percent,FAO_AGB,GEDI_L4B_AGB,GEDI_L4B_AGB_SE
Aruba,ABW,2.3,-9999,-9999,1.9,0.4,21.2,-9999,0.000032288135072,0.00000685512624527139
Afghanistan,AFG,1.9,-9999,-9999,12,0.6,4.9,-9999,0.7718245,0.038011276
Angola,AGO,53.4,30.3,16.2,34.5,0.6,1.8,2.02,4.29130427,0.077218158
Anguilla,AIA,61.1,210,128.3,3.8,0.7,18.9,0.00116,0.0000303038793864,0.00000573591829025779
Albania,ALB,28.8,-9999,-9999,55.5,1.4,2.5,-9999,0.157122861,0.003917167
Andorra,AND,34,154,52.4,70.8,3.7,5.2,0.00246,0.003200396,0.000167469
United Arab Emirates,ARE,4.5,74.4,3.3,0.5,0,6.7,0.0236,0.003725167,0.000248354
Argentina,ARG,10.4,185.7,19.4,8.1,0.4,4.5,5.31,2.25000648,0.100710515
Armenia,ARM,11.5,-9999,-9999,28.3,1.1,4,-9999,0.08368904,0.00335809
Antigua and Barbuda,ATG,18.5,210,38.8,9.4,1.1,11.8,0.00171,0.00042241,0.0000498802440256538
Australia,AUS,17.4,84,14.6,15.5,0.8,5,11.3,11.90639263,0.595305344
Austria,AUT,47.3,172.3,81.4,111.3,2,1.8,0.672,0.934970306,0.016837787
Azerbaijan,AZE,13.7,-9999,-9999,28,0.9,3.1,-9999,0.241247008,0.007415016
Burundi,BDI,10.9,119.4,13,35.3,0.7,2.1,0.0334,0.08818174,0.001871234
Belgium,BEL,22.8,-9999,-9999,58.9,1.5,2.5,-9999,0.180758672,0.00446351
Benin,BEN,27.8,103.6,28.8,21.8,0.9,4,0.325,0.253004421,0.010195142
Burkina Faso,BFA,22.7,47.8,10.9,10.4,0.9,8.4,0.297,0.28295965,0.023883322
Bangladesh,BGD,14.5,62.8,9.1,34.1,0.9,2.5,0.118,0.467343709,0.011836227
Bulgaria,BGR,35.9,180.5,64.7,66.2,1.4,2.2,0.703,0.745997608,0.016071101
Bahrain,BHR,0.9,-9999,-9999,1.7,0.2,10.6,-9999,0.000097485512179,0.0000103522789948245
Bahamas,BHS,50.9,39.8,20.3,3.8,0.3,6.7,0.0203,0.004830748,0.00032167
Bosnia and Herzegovina,BIH,42.7,-9999,-9999,98.3,1.9,1.9,-9999,0.509230497,0.009638257
Saint Bartholomy,BLM,8.5,124.5,10.6,28.4,8.9,31.2,0.0000212,0.000069422914035,0.0000216844554675744
Belarus,BLR,43.2,156.1,67.4,78.3,0.4,0.5,1.37,1.624806395,0.007998857
Belize,BLZ,56,211,118.1,83.8,1.4,1.6,0.27,0.186812555,0.003077643
