Country	2000_extent	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Afghanistan	205791.865450389	88.09299540403	178.6409047607	244.3369847412	201.445544232	235.9575249629	152.0849784853	252.842393340699	107.4065619446	70.4057059815	87.7287059997	112.9553986938	39.3077371337999	1.451845617676	2.719298638921	0	0	0	25.70591791995	17.11511664429	36.58241652837	26.48253846437	5.87255933228	14.74154686284
Akrotiri and Dhekelia	455.938917284837	1.64899417113999	0.507203747559	0	1.58935794067	0.190439941406	2.09776353759999	3.36771752319	1.3967777832	2.98679446411	0.127113708496	1.08083701172	1.77979221191	1.01722072144	1.20786366577	5.27509334717	8.64452494507	1.33482440796	0.826371142578	0.699314160156	0.572061016846	0.826636016846	0	0
Åland	107728.001271235	396.93782963293	277.821980221162	220.776524929439	735.855363131297	698.8593831327	100.145315682959	247.94794773206	1291.9577311984	675.75130979371	633.745078350879	465.8259694183	654.73360607	509.6962631649	550.06469627659	567.23733588516	672.66432393846	735.14936106842	619.7113757753	2361.3074427322	673.49387180799	1355.4146301423	1166.3632458315	1093.0096671731
Albania	648682.502881495	3729.03511801431	889.520431170602	613.53626325069	3236.60772668967	694.57795920439	962.70991092555	5225.04649966711	5471.33889356201	1337.34530874613	655.795784551353	1188.25266025954	5395.66937228551	2570.32072474598	1051.88569481177	283.57579439121	928.453081037025	1689.03131940884	2048.77690636313	1074.14866011419	1117.79160479096	1685.68353645543	2095.49221283765	2503.0468158774
Algeria	1223625.17166782	3468.77113632199	3009.842630353	3831.44919039649	4374.173215191	4469.582757279	5415.41120427379	5201.573060807	7972.36219610749	10467.306640607	2605.6321119225	8344.1109553069	10912.76799389	6926.55133168929	9523.3789430942	5706.863897839	8011.5093731189	45978.701950286	5763.9280723654	6291.308259176	13072.7082908166	20472.957932605	13442.6565760731	22023.494658203
Andorra	19004.1126257093	1.65421945801	1.25502718506	0.342065002440999	22.5894635497999	2.39616715087999	6.62457429199	2.16906779785	5.24788419189	2.85331083984	1.08372640991	0.91326116333	7.69775005493	3.36419995117	1.36826583252	2.16779186401	0.627513305664	3.42217391357	14.8882723205999	8.04001456299	27.4946004822	2.22472172852	15.2269965698	5.64596688232
Angola	55292449.13747	101220.54439481	61034.1780858798	52461.5045503199	71273.81705828	93434.6610175	76940.36174449	145286.59413342	103581.94983523	165947.50786671	159805.96362988	182927.75718318	180754.67070804	168841.12081843	212661.91926077	161718.84543478	229710.30639008	280456.099368379	242552.310645	175098.23186957	248028.22699059	298293.8369807	266942.0203464	268335.49765757
Anguilla	2125.7703828625	3.87846610718	0.146329852295	1.09774662475999	8.85400835571	3.65866801758	1.31715842896	8.63556091919	10.3906658203	1.90247023926	0.439018463135	1.02456422729	1.90261682129	1.31716980590999	0.365833496094	0	0	1.17081262817	0.219475128174	0	0.146330059814	1.68278405762	0.219497509766	0
Antigua and Barbuda	19323.369973425	24.0742208435	17.6560649475	17.0780449767999	25.4632932311999	61.1656797790999	61.1521963012999	37.1578776855	45.6957038879	61.5301753845	19.1365030395999	25.8365098816	33.3454343079	21.3452599608999	24.8756848206	8.90748237915	14.4254186951	71.8985053589	162.814821747	23.410340802	15.2360139038	39.1589765259	37.319613269	19.2055748962
Argentina	39086889.6149361	147805.623772472	105001.632125063	249154.457963626	433428.751448438	367248.555000956	316446.531918143	425344.34803316	592751.987649856	309857.332896608	413229.950592769	499186.106371055	478176.952225006	376775.801370894	241102.287320442	180232.682208426	230188.919294161	233919.178399063	172957.726617013	145443.960862845	197378.610604929	201881.390470714	232223.156192165	215934.206691595
Armenia	336843.388802484	131.8410999142	172.5392263489	395.818163586589	83.20505322875	104.01496557009	129.749548168679	54.5366152527	113.03195346661	202.73427184485	162.1732269896	173.98922354711	197.67891321982	41.841416583301	38.12772395016	1.99012278441999	30.047691082803	41.7474703857	5.90254387207	0.706430181885	18.543037628173	4.96474088745	8.46310248413	86.45221330565
Aruba	24.952434356687	0	0.526108221436	0.977058508301	0	0	0.225487176514	0	0	0.37579819336	0	0	0.150325061034999	0	0	0	0	0	0.300631164551	0	0	0	0	0
Australia	42280486.1709359	218815.668484971	312149.255105927	373845.513206001	124768.30029779	177023.087083954	186303.384024183	372715.679507899	205724.243213331	203710.459841395	290724.675889469	121315.375807874	139802.353029497	260093.374909031	281736.698742876	261574.260152345	430901.586536089	236875.779182222	250749.961054718	1661542.97469937	2356509.15139415	261042.834450006	118987.085205404	190712.783916402
Austria	4336063.81943891	6926.3014845255	10902.20094	14475.7626209765	14599.473323165	21657.247344176	12583.592514615	31669.8398794896	26895.869305293	15887.189209997	16712.9422619159	18089.8465112716	11158.4817827549	7645.3777549903	9869.61505201999	7937.7422058601	17210.373996727	18405.776146946	26310.217221152	33642.590301972	25936.638349273	16651.7198717107	19865.1555608176	26504.099068874
Azerbaijan	1268614.86969894	553.30138246507	1154.21009140098	1039.3453564089	584.957928118607	246.266158240139	525.203384747	507.559045325018	472.318632269943	371.835406555441	549.60210188011	147.45622860706	597.63410953427	149.076544842462	328.247192858789	26.74529336549	25.475304290772	80.10134996947	75.32892061768	11.94980719602	22.77504597166	85.2266488038	146.1787720035	460.96646480114
Bahamas	303576.007804232	433.000241875999	700.977561133	274.231417865	588.100538727	1450.09343055	1015.77598782	604.808884985	1949.23972443	823.973579742	400.644791588999	624.795068005	370.594704327	1572.71079592	902.308338812	1089.01528795	3136.09050889	3703.94383703	913.750930188	1557.77684542	2696.18415764	1548.81597863	593.105042772999	1259.37228293
Bangladesh	1938961.30016342	4587.00543577	3995.294847831	2159.4609919994	4282.547550613	3293.038295213	6862.833718376	3995.109885059	4480.09784851	5624.92053326699	4667.810492868	4181.300047728	5359.4672322783	6021.93701377327	12060.7842822644	12603.7836887391	21196.2649604744	28376.5970057513	19342.9067623	22078.798435575	21475.2066293598	17587.3112552784	13798.2726033255	17786.9739680697
Barbados	5229.74136743418	12.3674738892	11.3919928955	2.99785237427	8.3195460022	9.51827730103	4.12233870239	31.6282686951	13.7167402771	13.2649494873	17.4620019714	18.136991803	116.543854541	5.32159797974	2.17355150146	1.94870237427	14.3162732849	15.8141125915999	22.6342667297	53.6634420715	22.1097307983	17.2388099304	5.2463289978	5.92086114502
Belarus	9118638.94841571	18359.0717258	25383.56483551	32119.56877429	38596.9080939599	36192.64960878	42269.60089648	32656.9407641499	35896.69237609	35542.88378068	35754.30624022	45367.27827568	39591.32342432	28084.8621879999	33626.40141032	33899.49364213	90487.3607896	78767.5424462	87447.0709332999	75048.9591785	68932.5242317	63479.3464339	64995.1549938	59232.7999223
Belgium	865430.407511872	971.493266019	2348.402831189	1889.78729121399	4793.36546277	3027.95041651	6916.12001813	5985.17353258999	7213.58227785	5176.38988854999	10909.07793164	5016.29463656999	5635.19678002999	3314.96665826	4239.2885123	3420.29166207	4512.36599665	4137.34417997	4630.63217523	5577.14731846999	5408.65936121	9142.94695573	4833.61412422	7579.4904797
Belize	1748278.07212249	8211.64025015	13473.7481252999	6843.90516857	4312.26544635	8103.85708323999	4269.74084717	12263.6193554	8216.10558252999	10264.1407856	9765.92266331	26386.3146985	11527.9829643	16372.7319423	16464.7356796	12270.8762267	20510.7326393	16366.2958597	11163.6810864	18372.6604657	26511.819205	9289.65780941	8171.96257066	22561.0619073
Benin	168568.275332044	3749.33335142569	3480.18920013646	3475.92837540714	683.607978931004	1591.0875772562	1794.80546126587	4659.7017515193	481.55199512905	4929.1617991241	529.23912385866	654.66787429219	2865.4133442757	1312.90386991	1358.27276447	598.39771568	2015.97894215	2238.44772379	1825.97187573999	774.98614516	1605.56237947	1704.95213333463	1673.90836848	2617.35415162
Bermuda	604.795767810316	0.195820318604	0.717961340332	0.130570599365	0.652760992431999	0.326339990234	0.0653021606444999	0	0.195897302246	0.457065338135	0.914109942627	0.130451647949	0.587706884766	1.43653859252999	0.848840887451	0	0	0	0	0	0	0	0	0
Bhutan	2577240.27580297	297.6602825257	223.935371320099	543.601968323	1013.180032239	770.003924609	622.874252978	508.221846442	775.33539657	1175.461938037	4353.63127146	1090.995987598	766.214076727	485.3534821902	1229.154004499	746.525247717	1962.956648671	1972.248720378	1240.067222088	819.587035741999	1288.377322888	1278.578699488	1247.589107013	1797.011949463
Bolivia	64521384.5397839	140321.08479846	178807.747672946	163758.894453841	203251.22844954	250748.024639875	216314.5522329	189952.687787756	369850.086014056	225270.009786552	451758.615133792	330238.802491572	273543.668767636	179822.28142884	256901.081854937	166275.042869145	470600.22509884	463193.888231878	301855.431283572	852088.715593348	429779.770707152	558392.40703642	595995.66630203	696362.441428853
Bonaire, Sint Eustatius and Saba	2432.08994074743	3.03186095581	2.10645939331	16.150211554	0.29739588623	1.10661256714	6.90051160889	0.660917608643	0.590922290039	0.956145617676	2.42249055786	8.80901370238999	3.22208169556	4.36024237671	1.71035924683	0	0	0	0.440779852295	1.54256728516	9.69796767578	0.225687683105	0	0
Bosnia and Herzegovina	2657988.50833058	1496.11336321	692.661727484	307.812692255	4121.83712963	573.618033435	535.971082349	2681.53340946	1551.79472084	1296.34016141	910.641528772	970.619153809	2433.76704691	2574.01690205	1789.55195077	580.50734422	2307.98919571999	1339.32038955	2673.6819968	1232.2155767	1842.07887897	1018.74506614	2053.88282650999	3947.31821358999
Botswana	20328.3791224621	130.9836613769	22.78896411128	8.57253846436	50.65768828737	49.0957690674	40.1077829773	33.5595845031999	26.06321276857	41.324568335	30.49979847414	21.4333239013699	15.78721246336	14.121842675745	15.5243274292449	0	0.727646612549	1.157177856445	2.62494005737	0.0721905517578	1.815255371096	1.42477828979	2.080603338622	2.39502966919
Brazil	519187192.986689	2746359.2490305	3507046.52294329	3248523.90387154	3848767.6618851	3486559.98949006	2876802.48331864	2621818.09706403	2444306.14522735	1817899.85713717	2688894.06059586	1923362.08088492	2918630.70325854	1945504.79337704	2693132.19148573	2222770.75738985	5378841.04798435	4519829.79607126	2948460.05877595	2696746.92982891	3291389.1972588	2991906.9831542	3308928.0294011	2806055.68556807
British Virgin Islands	7463.89140009322	4.09250688477	2.99644572754	1.82742440796	2.63096005249	3.72742731934	2.77712298583999	6.13867494507	7.0152993042	5.18867052002	3.94623065186	15.3467566162	0.877065698242	2.77700457153	0.511469439697	0	2.85024693604	229.362884442	6.21237634888	0.876993328857	0.0730889709473	4.09281970825	2.04631915894	2.19242267456
Brunei	529339.151234393	1244.45425607	1088.84597693	799.176999561	1197.13661409	1278.31904219	1013.51477638	1564.8333546	1299.95100082	2169.47467302	966.986854785	2620.36413363	1836.78349825	888.325667639	2224.70666208	1761.27124139	2572.58501679	944.710503241	806.634706859999	1168.53467661	1166.42796874	953.160985083	919.66418017	915.375288464
Bulgaria	4138964.33699662	8202.35129289	4638.75712358	5198.73603998	8170.49855988	6566.73653835	5171.14431607	9557.31986491	6448.16028589999	6099.66516721	3569.10395891	3331.70390266	9977.54524987999	3692.77792004	6688.59074705	7293.20855238	7394.56804264	7687.88685648	9754.01825302	4125.26430507	4795.11898814999	6683.92586282	4093.22882827	5653.26444047999
